Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7545564,MDG_0000000001,COUNTRY,SVN,EUR,YEAR,Europe,SEX,1990,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,7.8 [7.4-8.2],7.757348836,7.368293353,8.155710934,,2025-04-15T15:49:27.583+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
7545601,MDG_0000000001,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,SEX,2023,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,16.1 [10.1-26.1],16.145948742,10.096847722,26.111307886,,2025-04-15T15:49:27.583+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
7545996,MDG_0000000001,COUNTRY,TUV,WPR,YEAR,Western Pacific,SEX,1971,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,72.8 [62.0-85.5],72.817925704,61.984527761,85.513958451,,2025-04-15T15:49:27.583+02:00,1971,1971-01-01T00:00:00+01:00,1971-12-31T00:00:00+01:00
7546047,MDG_0000000001,COUNTRY,SDN,EMR,YEAR,Eastern Mediterranean,SEX,2022,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,44.9 [30.0-66.4],44.858410091,29.958382808,66.368538576,,2025-04-15T15:49:27.583+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7546138,MDG_0000000001,COUNTRY,GHA,AFR,YEAR,Africa,SEX,2017,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,35.1 [31.9-38.6],35.121938497,31.876900666,38.644519392,,2025-04-15T15:49:27.583+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
7546540,MDG_0000000001,COUNTRY,SWE,EUR,YEAR,Europe,SEX,1979,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,8.2 [8.0-8.5],8.2176479,7.961593537,8.474935466,,2025-04-15T15:49:27.583+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
7546958,MDG_0000000001,COUNTRY,PAN,AMR,YEAR,Americas,SEX,1959,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,67.1 [59.3-75.0],67.101939957,59.283948058,74.98613721,,2025-04-15T15:49:27.583+02:00,1959,1959-01-01T00:00:00+01:00,1959-12-31T00:00:00+01:00
7547307,MDG_0000000001,COUNTRY,ATG,AMR,YEAR,Americas,SEX,1968,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,30.7 [28.3-33.2],30.662077054,28.343296301,33.203889814,,2025-04-15T15:49:27.583+02:00,1968,1968-01-01T00:00:00+01:00,1968-12-31T00:00:00+01:00
7547587,MDG_0000000001,COUNTRY,ERI,AFR,YEAR,Africa,SEX,2002,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,47.5 [42.9-52.6],47.455217845,42.902897218,52.572308758,,2025-04-15T15:49:27.583+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
7547732,MDG_0000000001,COUNTRY,NGA,AFR,YEAR,Africa,SEX,1984,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,110.9 [102.2-119.9],110.924919745,102.205342337,119.942941247,,2025-04-15T15:49:27.583+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
7547818,MDG_0000000001,UNICEFREGION,UNICEFREGIONEAC,,YEAR,,SEX,1991,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,22.5 [21.9-23.2],22.500150125,21.870550506,23.231950641,,2025-04-15T15:49:27.583+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
