Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7370967,MDG_0000000001,COUNTRY,PAN,YEAR,AMR,Americas,SEX,SEX_BTSX,1959,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,67.1 [59.3-75.0],67.101939957,59.283948058,74.98613721,,2025-04-15T15:49:27.583+02:00,1959,1959-01-01T00:00:00+01:00,1959-12-31T00:00:00+01:00
7371299,MDG_0000000001,COUNTRY,ATG,YEAR,AMR,Americas,SEX,SEX_BTSX,1968,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,30.7 [28.3-33.2],30.662077054,28.343296301,33.203889814,,2025-04-15T15:49:27.583+02:00,1968,1968-01-01T00:00:00+01:00,1968-12-31T00:00:00+01:00
7371565,MDG_0000000001,COUNTRY,ERI,YEAR,AFR,Africa,SEX,SEX_BTSX,2002,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,47.5 [42.9-52.6],47.455217845,42.902897218,52.572308758,,2025-04-15T15:49:27.583+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
7371706,MDG_0000000001,COUNTRY,NGA,YEAR,AFR,Africa,SEX,SEX_MLE,1984,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,110.9 [102.2-119.9],110.924919745,102.205342337,119.942941247,,2025-04-15T15:49:27.583+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
7371791,MDG_0000000001,UNICEFREGION,UNICEFREGIONEAC,YEAR,,,SEX,SEX_FMLE,1991,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,22.5 [21.9-23.2],22.500150125,21.870550506,23.231950641,,2025-04-15T15:49:27.583+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
7371848,MDG_0000000001,COUNTRY,BEN,YEAR,AFR,Africa,SEX,SEX_BTSX,1968,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,142.4 [131.9-154.9],142.417201952,131.87009774,154.897566166,,2025-04-15T15:49:27.583+02:00,1968,1968-01-01T00:00:00+01:00,1968-12-31T00:00:00+01:00
7372134,MDG_0000000001,COUNTRY,MKD,YEAR,EUR,Europe,SEX,SEX_MLE,2003,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,13.7 [13.0-14.4],13.676456422,13.010512832,14.39003648,,2025-04-15T15:49:27.583+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
7372497,MDG_0000000001,UNSDGREGION,UNSDG_EASTERNASIASOUTHEASTERNASIA,YEAR,,,SEX,SEX_MLE,2016,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,13.6 [13.0-14.4],13.632056067,12.950283736,14.448366088,,2025-04-15T15:49:27.583+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
7372953,MDG_0000000001,COUNTRY,LKA,YEAR,SEAR,South-East Asia,SEX,SEX_BTSX,2018,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,6.5 [6.3-6.7],6.486049971,6.279852128,6.711007931,,2025-04-15T15:49:27.583+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7373352,MDG_0000000001,COUNTRY,BDI,YEAR,AFR,Africa,SEX,SEX_MLE,2022,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,35.9 [21.7-59.7],35.94809749,21.682059329,59.710049426,,2025-04-15T15:49:27.583+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7373631,MDG_0000000001,COUNTRY,ITA,YEAR,EUR,Europe,SEX,SEX_BTSX,1965,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,35.8 [35.1-36.5],35.786897598,35.096890147,36.479706723,,2025-04-15T15:49:27.583+02:00,1965,1965-01-01T00:00:00+01:00,1965-12-31T00:00:00+01:00
7374160,MDG_0000000001,COUNTRY,CIV,YEAR,AFR,Africa,SEX,SEX_BTSX,2012,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,64.9 [59.6-70.7],64.936742314,59.633676491,70.690497395,,2025-04-15T15:49:27.583+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
7374183,MDG_0000000001,COUNTRY,COL,YEAR,AMR,Americas,SEX,SEX_BTSX,2022,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,11.3 [7.4-17.2],11.275982436,7.37565417,17.153378614,,2025-04-15T15:49:27.583+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7374186,MDG_0000000001,UNICEFREGION,UNICEFREGIONEAP,YEAR,,,SEX,SEX_MLE,2012,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,16.6 [15.9-17.3],16.576966905,15.912704215,17.29453561,,2025-04-15T15:49:27.583+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
7374604,MDG_0000000001,COUNTRY,GNQ,YEAR,AFR,Africa,SEX,SEX_FMLE,1985,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,113.3 [95.9-130.9],113.335729717,95.856716099,130.906386133,,2025-04-15T15:49:27.583+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
7374776,MDG_0000000001,COUNTRY,SVK,YEAR,EUR,Europe,SEX,SEX_FMLE,1991,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,10.6 [10.2-10.9],10.567898993,10.243051232,10.909929208,,2025-04-15T15:49:27.583+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
7374912,MDG_0000000001,UNSDGREGION,UNSDG_NORTHAFR,YEAR,,,SEX,SEX_FMLE,1991,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,58.0 [56.0-60.2],58.032753154,55.951551586,60.167940047,,2025-04-15T15:49:27.583+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
7374959,MDG_0000000001,COUNTRY,LUX,YEAR,EUR,Europe,SEX,SEX_MLE,2019,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,2.3 [2.0-2.6],2.280731492,1.960537328,2.642626959,,2025-04-15T15:49:27.583+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
7375197,MDG_0000000001,UNSDGREGION,UNSDG_OCEANIA,YEAR,,,SEX,SEX_BTSX,1990,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,25.7 [24.0-27.5],25.697193379,24.020453516,27.456139885,,2025-04-15T15:49:27.583+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
7375363,MDG_0000000001,COUNTRY,KGZ,YEAR,EUR,Europe,SEX,SEX_FMLE,2006,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,28.4 [26.9-30.1],28.433641665,26.871055218,30.091865675,,2025-04-15T15:49:27.583+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
7376841,MDG_0000000001,UNSDGREGION,UNSDG_NORTHAFR,YEAR,,,SEX,SEX_FMLE,2017,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,23.6 [20.6-27.4],23.568748701,20.592214403,27.425892772,,2025-04-15T15:49:27.583+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
7377006,MDG_0000000001,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,SEX_BTSX,2013,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,40.5 [38.6-42.4],40.462138206,38.578047963,42.432420693,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,2025-04-15T15:49:27.583+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
7377414,MDG_0000000001,COUNTRY,TKM,YEAR,EUR,Europe,SEX,SEX_BTSX,1986,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,80.0 [69.2-94.1],79.999690449,69.211752147,94.096486884,,2025-04-15T15:49:27.583+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
7377634,MDG_0000000001,COUNTRY,CPV,YEAR,AFR,Africa,SEX,SEX_FMLE,1982,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,49.4 [47.3-51.4],49.37633544,47.292440226,51.445216289,,2025-04-15T15:49:27.583+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
7378065,MDG_0000000001,COUNTRY,SYR,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2003,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,20.9 [18.7-23.5],20.919188938,18.694959301,23.507983575,,2025-04-15T15:49:27.583+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
