Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6950688,MDG_0000000001,COUNTRY,MUS,YEAR,AFR,Africa,SEX,SEX_MLE,1976,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,48.8 [47.3-50.3],48.794096061,47.291485583,50.313163124,,2025-04-15T15:49:27.583+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
6950835,MDG_0000000001,COUNTRY,SWE,YEAR,EUR,Europe,SEX,SEX_BTSX,1971,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,10.9 [10.7-11.1],10.89324198,10.671642276,11.133497558,,2025-04-15T15:49:27.583+02:00,1971,1971-01-01T00:00:00+01:00,1971-12-31T00:00:00+01:00
6950864,MDG_0000000001,COUNTRY,CYP,YEAR,EUR,Europe,SEX,SEX_BTSX,2013,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,2.5 [2.2-2.8],2.466245941,2.191659572,2.758599115,"Some UN IGME indicators are calculated using population and live birth numbers from the World Population Prospects: The 2024 revision (WPP). The WPP numbers for Cyprus refer to the entire country. However, the underlying data used to calculate mortality rates estimates, provided by the Health Monitoring Unit of the Cyprus Ministry of Health, cover only the government-controlled areas, whereas according to Eurostat, the number of live births in 2023 was 10,295 (https://ec.europa.eu/eurostat/databrowser/view/tps00204/), the population on 1 January 2023 was 920,701 (https://ec.europa.eu/eurostat/databrowser/view/tps00001/), the population under 5 was 49,326,  adolescent population was 99,207 and the number of women of reproductive age was 235,268 (https://doi.org/10.2908/DEMO_PJAN).",2025-04-15T15:49:27.583+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6950998,MDG_0000000001,COUNTRY,GEO,YEAR,EUR,Europe,SEX,SEX_FMLE,1994,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,32.0 [28.2-36.2],31.970263102,28.239207711,36.203955452,,2025-04-15T15:49:27.583+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
6951439,MDG_0000000001,COUNTRY,SWE,YEAR,EUR,Europe,SEX,SEX_FMLE,2006,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,2.6 [2.5-2.7],2.565755746,2.451090946,2.685271643,,2025-04-15T15:49:27.583+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6951574,MDG_0000000001,COUNTRY,SYC,YEAR,AFR,Africa,SEX,SEX_MLE,2021,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,14.5 [11.8-17.9],14.500597299,11.782847998,17.855704711,,2025-04-15T15:49:27.583+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6951613,MDG_0000000001,COUNTRY,YEM,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,1979,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,159.0 [148.1-171.2],159.010660688,148.108471744,171.22807338,,2025-04-15T15:49:27.583+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
6952330,MDG_0000000001,COUNTRY,BFA,YEAR,AFR,Africa,SEX,SEX_FMLE,2004,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,76.3 [70.3-83.0],76.341055181,70.318726167,83.016034213,,2025-04-15T15:49:27.583+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
6952642,MDG_0000000001,COUNTRY,LUX,YEAR,EUR,Europe,SEX,SEX_MLE,1962,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,32.4 [30.0-34.9],32.378479157,30.029873509,34.885996238,,2025-04-15T15:49:27.583+02:00,1962,1962-01-01T00:00:00+01:00,1962-12-31T00:00:00+01:00
6952774,MDG_0000000001,COUNTRY,EST,YEAR,EUR,Europe,SEX,SEX_FMLE,2015,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,2.2 [2.0-2.4],2.201757356,2.001905163,2.408350223,,2025-04-15T15:49:27.583+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6952804,MDG_0000000001,COUNTRY,BFA,YEAR,AFR,Africa,SEX,SEX_BTSX,1968,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,162.8 [146.1-181.2],162.819244225,146.057291939,181.207610283,,2025-04-15T15:49:27.583+02:00,1968,1968-01-01T00:00:00+01:00,1968-12-31T00:00:00+01:00
6952903,MDG_0000000001,COUNTRY,AZE,YEAR,EUR,Europe,SEX,SEX_FMLE,1982,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,78.8 [66.3-94.7],78.84933115,66.276477687,94.74071028,,2025-04-15T15:49:27.583+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
6952931,MDG_0000000001,COUNTRY,PRY,YEAR,AMR,Americas,SEX,SEX_MLE,2023,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,16.6 [7.9-35.3],16.595687118,7.894186431,35.346232164,,2025-04-15T15:49:27.583+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
6953613,MDG_0000000001,COUNTRY,AUT,YEAR,EUR,Europe,SEX,SEX_BTSX,1956,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,45.1 [44.1-46.1],45.052818697,44.063753796,46.070278542,,2025-04-15T15:49:27.583+02:00,1956,1956-01-01T00:00:00+01:00,1956-12-31T00:00:00+01:00
6953706,MDG_0000000001,COUNTRY,BGD,YEAR,SEAR,South-East Asia,SEX,SEX_BTSX,2023,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,24.4 [23.3-25.6],24.366614018,23.294922759,25.587612336,,2025-04-15T15:49:27.583+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
6954984,MDG_0000000001,UNSDGREGION,UNSDG_EASTERNASIASOUTHEASTERNASIA,YEAR,,,SEX,SEX_FMLE,1995,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,36.5 [35.0-38.1],36.508926745,34.994529836,38.132188975,,2025-04-15T15:49:27.583+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
6955052,MDG_0000000001,COUNTRY,BRB,YEAR,AMR,Americas,SEX,SEX_BTSX,1959,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,76.1 [74.0-78.2],76.10853069,74.037736822,78.199695832,,2025-04-15T15:49:27.583+02:00,1959,1959-01-01T00:00:00+01:00,1959-12-31T00:00:00+01:00
6955328,MDG_0000000001,UNSDGREGION,UNSDG_OCEANIA,YEAR,,,SEX,SEX_FMLE,2003,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,22.3 [20.1-24.8],22.255303989,20.097420764,24.780366736,,2025-04-15T15:49:27.583+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
6955592,MDG_0000000001,COUNTRY,TUN,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2012,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,17.7 [16.8-18.6],17.68365925,16.806098762,18.597691525,,2025-04-15T15:49:27.583+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
