Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8147126,MDG_0000000001,COUNTRY,TCD,YEAR,AFR,Africa,SEX,2023,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,58.0 [39.0-85.3],57.965170611,38.9718379,85.272127488,,2026-08-04T15:40:44.863+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
8147177,MDG_0000000001,COUNTRY,MHL,YEAR,WPR,Western Pacific,SEX,2006,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,33.5 [28.7-39.1],33.467074122,28.735790507,39.138571988,,2026-08-04T15:40:44.863+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
8147219,MDG_0000000001,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,SEX,1975,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,140.4 [132.0-149.5],140.420519801,131.997925905,149.452361964,,2026-08-04T15:40:44.863+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
8147251,MDG_0000000001,UNSDGREGION,UNSDG_EUROPENORTHERNAMR,YEAR,,,SEX,2017,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,4.3 [4.3-4.3],4.295710004,4.254006145,4.340279401,,2026-08-04T15:40:44.863+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
8147358,MDG_0000000001,COUNTRY,ZWE,YEAR,AFR,Africa,SEX,1961,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,86.5 [71.1-105.3],86.451225861,71.100911262,105.289231132,,2026-08-04T15:40:44.863+02:00,1961,1961-01-01T00:00:00+01:00,1961-12-31T00:00:00+01:00
8147389,MDG_0000000001,UNICEFREGION,UNICEFREGIONMENA,YEAR,,,SEX,2002,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,34.3 [33.3-35.6],34.347325709,33.270136857,35.593283397,,2026-08-04T15:40:44.863+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
8147534,MDG_0000000001,COUNTRY,MDV,YEAR,SEAR,South-East Asia,SEX,2009,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,12.8 [12.1-13.6],12.847034242,12.099611727,13.624684806,,2026-08-04T15:40:44.863+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
8147730,MDG_0000000001,COUNTRY,BEN,YEAR,AFR,Africa,SEX,2022,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,47.8 [37.6-60.9],47.786737499,37.569478917,60.899881848,,2026-08-04T15:40:44.863+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
8147881,MDG_0000000001,COUNTRY,BLZ,YEAR,AMR,Americas,SEX,1990,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,31.0 [27.3-35.2],31.048081606,27.274599795,35.211638338,,2026-08-04T15:40:44.863+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
8147970,MDG_0000000001,COUNTRY,UGA,YEAR,AFR,Africa,SEX,1962,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,129.0 [112.4-148.8],129.030781636,112.372024769,148.836847957,,2026-08-04T15:40:44.863+02:00,1962,1962-01-01T00:00:00+01:00,1962-12-31T00:00:00+01:00
8148400,MDG_0000000001,COUNTRY,SLB,YEAR,WPR,Western Pacific,SEX,1981,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,34.7 [28.5-41.6],34.675479963,28.45926038,41.618418406,,2026-08-04T15:40:44.863+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
8148442,MDG_0000000001,COUNTRY,NER,YEAR,AFR,Africa,SEX,2022,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,62.6 [49.5-78.5],62.575592141,49.511118986,78.54479568,,2026-08-04T15:40:44.863+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
8148620,MDG_0000000001,COUNTRY,MNG,YEAR,WPR,Western Pacific,SEX,1993,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,55.6 [50.9-60.8],55.642211698,50.910935274,60.817677132,,2026-08-04T15:40:44.863+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
8148777,MDG_0000000001,COUNTRY,MCO,YEAR,EUR,Europe,SEX,2002,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,4.0 [3.7-4.2],3.951204756,3.725570814,4.191493322,,2026-08-04T15:40:44.863+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
