Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
787847,MDG_0000000001,COUNTRY,BRA,YEAR,AMR,Americas,SEX,1931,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,155.8 [136.3-178.6],155.82133041,136.289313993,178.572710163,,2026-08-04T15:40:44.863+02:00,1931,1931-01-01T00:00:00+01:00,1931-12-31T00:00:00+01:00
787881,MDG_0000000001,COUNTRY,EST,YEAR,EUR,Europe,SEX,1979,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,17.2 [16.5-18.1],17.239373974,16.465439006,18.068149022,,2026-08-04T15:40:44.863+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
787882,MDG_0000000001,COUNTRY,EST,YEAR,EUR,Europe,SEX,1979,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,14.8 [14.0-15.8],14.814128664,13.965285126,15.771712626,,2026-08-04T15:40:44.863+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
787883,MDG_0000000001,COUNTRY,EST,YEAR,EUR,Europe,SEX,1979,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,19.5 [18.5-20.6],19.546174731,18.529026831,20.60755299,,2026-08-04T15:40:44.863+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
787935,MDG_0000000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,2024,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,48.3 [36.1-65.0],48.314750934,36.149390023,65.016313614,,2026-08-04T15:40:44.863+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
787936,MDG_0000000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,2024,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,44.5 [33.1-60.0],44.46793099,33.073367665,59.999648901,,2026-08-04T15:40:44.863+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
787937,MDG_0000000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,2024,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,52.0 [38.8-70.1],51.994948782,38.775642211,70.138399633,,2026-08-04T15:40:44.863+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
787938,MDG_0000000001,REGION,AFR,YEAR,,,SEX,2024,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,46.3 [43.9-50.9],46.324937063,43.919334576,50.877648629,,2026-08-04T15:40:44.863+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
787939,MDG_0000000001,REGION,AFR,YEAR,,,SEX,2024,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,41.4 [39.2-45.5],41.400538624,39.194166696,45.499330664,,2026-08-04T15:40:44.863+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
787940,MDG_0000000001,REGION,AFR,YEAR,,,SEX,2024,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,51.0 [48.3-56.1],50.997488703,48.309707207,56.103298273,,2026-08-04T15:40:44.863+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
