Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
9292732,WHOSIS_000001,COUNTRY,CPV,AFR,YEAR,Africa,SEX,SEX_FMLE,2018,,,,,,,78.0 [77.6-78.6],78.0275848,77.56365954,78.55751735,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
9294378,WHOSIS_000001,COUNTRY,SVK,EUR,YEAR,Europe,SEX,SEX_BTSX,2008,,,,,,,74.8 [74.8-74.9],74.82525921,74.78404041,74.94974096,,2024-08-02T09:43:39.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
9295686,WHOSIS_000001,COUNTRY,ISR,EUR,YEAR,Europe,SEX,SEX_BTSX,2001,,,,,,,78.8 [78.8-78.9],78.80591438,78.78364128,78.89806269,,2024-08-02T09:43:39.193+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
9296139,WHOSIS_000001,COUNTRY,WSM,WPR,YEAR,Western Pacific,SEX,SEX_BTSX,2012,,,,,,,70.3 [69.8-70.8],70.27478818,69.77612002,70.84698017,,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
9299625,WHOSIS_000001,COUNTRY,NGA,AFR,YEAR,Africa,SEX,SEX_FMLE,2016,,,,,,,63.6 [62.6-64.5],63.5691056,62.55712994,64.50232979,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9299908,WHOSIS_000001,COUNTRY,AZE,EUR,YEAR,Europe,SEX,SEX_FMLE,2011,,,,,,,73.2 [72.9-73.6],73.1683818,72.85602094,73.61665114,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
9300485,WHOSIS_000001,COUNTRY,BDI,AFR,YEAR,Africa,SEX,SEX_BTSX,2020,,,,,,,64.6 [63.9-65.6],64.59433751,63.86471573,65.55819689,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9300774,WHOSIS_000001,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,SEX,SEX_FMLE,2017,,,,,,,74.0 [73.7-74.3],73.95856313,73.72553696,74.26254981,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9306201,WHOSIS_000001,COUNTRY,DJI,EMR,YEAR,Eastern Mediterranean,SEX,SEX_MLE,2003,,,,,,,58.0 [56.8-59.2],58.01608858,56.77605244,59.22608484,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
9307664,WHOSIS_000001,COUNTRY,TGO,AFR,YEAR,Africa,SEX,SEX_BTSX,2014,,,,,,,61.1 [60.3-62.0],61.08981314,60.31329629,61.95330774,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
